Province;Sexe;Age;Total - Type of collective dwelling;  Health care and related facilities [2];    General and speciality hospitals;    Nursing homes, chronic care and long-term care hospitals;    Residences for senior citizens;    Group homes or institutions for the physically handicapped and treatment centres;    Group homes or institutions for people with psychiatric disorders or developmental disabilities;  Correctional and penal institutions [3];  Shelters [4];  Group homes for children and youth;  Service collective dwellings [5];    Lodging and rooming houses;    Hotels, motels and other establishments with temporary accommodation services;    Other service collective dwellings [6];  Religious establishments;  Hutterite colonies;  Other [7]
Manitoba;Etablissement;;1310;675;45;140;50;95;350;15;70;50;360;130;170;55;25;110;10
Manitoba;Tous;0 to 100 years;32955;16845;605;9185;4345;625;2085;1565;910;190;2860;765;1455;635;140;10355;85
Manitoba; male;0 to 100 years;14660;5740;255;2820;1135;375;1155;1155;605;95;1955;585;1045;330;70;4975;75
Manitoba; female;0 to 100 years;18295;11110;355;6365;3210;250;925;410;310;95;905;185;415;310;70;5380;15
Manitoba;Tous; under 15 years;4045;95;5;0;0;10;80;10;180;90;95;10;35;50;0;3575;5
Manitoba; male; under 15 years;2030;45;5;0;0;5;35;5;115;55;40;5;10;25;0;1775;0
Manitoba; female; under 15 years;2020;50;5;0;0;5;45;5;60;40;55;5;25;25;5;1800;0
Manitoba;Tous; 15 to 19 years;1440;90;0;0;0;5;85;125;70;90;165;20;25;125;5;895;10
Manitoba; male; 15 to 19 years;785;45;0;0;0;5;40;105;35;35;85;10;15;65;0;470;5
Manitoba; female; 15 to 19 years;660;45;0;0;0;0;40;20;40;55;80;5;10;60;5;425;0
Manitoba;Tous; 20 to 24 years;1660;170;5;10;0;55;95;350;65;0;270;55;60;155;5;785;20
Manitoba; male; 20 to 24 years;820;95;5;10;0;25;50;175;30;0;145;35;40;70;0;365;15
Manitoba; female; 20 to 24 years;845;70;0;0;0;20;40;180;35;0;125;20;20;85;0;420;5
Manitoba;Tous; 25 to 29 years;1580;210;10;5;10;60;120;340;70;0;210;55;85;75;5;725;30
Manitoba; male; 25 to 29 years;860;135;5;5;5;40;85;205;30;0;130;35;50;50;0;330;25
Manitoba; female; 25 to 29 years;720;75;5;5;5;20;40;135;40;0;80;20;35;25;0;390;0
Manitoba;Tous; 30 to 34 years;1265;190;5;10;0;50;125;250;65;0;150;55;65;35;0;600;5
Manitoba; male; 30 to 34 years;705;110;5;5;0;30;75;180;35;0;90;40;35;10;0;285;5
Manitoba; female; 30 to 34 years;560;85;0;5;0;25;55;70;25;0;60;20;25;25;5;315;0
Manitoba;Tous; 35 to 39 years;1300;230;10;15;5;55;150;170;80;5;190;70;100;25;10;595;10
Manitoba; male; 35 to 39 years;815;150;10;5;5;40;90;170;60;0;140;55;75;10;10;285;5
Manitoba; female; 35 to 39 years;480;90;5;5;5;15;55;0;20;0;55;15;25;10;5;315;0
Manitoba;Tous; 40 to 44 years;1340;300;15;20;5;60;200;125;80;0;205;75;125;10;10;620;5
Manitoba; male; 40 to 44 years;825;170;5;10;0;45;110;120;60;0;145;60;85;0;5;315;0
Manitoba; female; 40 to 44 years;520;130;10;10;0;20;90;5;15;0;60;15;40;5;5;305;0
Manitoba;Tous; 45 to 49 years;1520;445;15;100;10;55;260;100;95;0;330;115;200;15;5;535;0
Manitoba; male; 45 to 49 years;915;240;5;40;0;45;145;105;70;0;245;90;155;5;0;245;5
Manitoba; female; 45 to 49 years;605;205;10;55;5;15;115;5;25;5;80;25;50;10;0;290;0
Manitoba;Tous; 50 to 54 years;1475;475;30;75;15;70;290;35;80;0;400;130;250;20;10;465;10
Manitoba; male; 50 to 54 years;900;265;15;35;0;45;165;30;60;0;310;95;205;15;5;215;5
Manitoba; female; 50 to 54 years;570;210;15;35;10;25;125;0;20;5;85;30;45;5;0;250;0
Manitoba;Tous; 55 to 59 years;1345;525;30;165;45;55;235;20;70;0;300;75;160;65;10;425;0
Manitoba; male; 55 to 59 years;770;280;15;100;5;35;125;20;60;5;235;60;140;30;5;175;0
Manitoba; female; 55 to 59 years;570;245;10;65;35;20;110;0;10;0;65;15;20;30;5;245;0
Manitoba;Tous; 60 to 64 years;1220;595;35;240;115;40;160;30;40;0;205;60;120;20;10;340;0
Manitoba; male; 60 to 64 years;710;320;20;145;30;30;90;30;30;0;170;55;100;15;10;160;0
Manitoba; female; 60 to 64 years;510;275;15;100;85;15;65;0;5;0;35;5;25;10;0;180;0
Manitoba;Tous; 65 to 69 years;1175;705;35;365;160;25;120;10;15;0;115;30;70;20;10;315;0
Manitoba; male; 65 to 69 years;630;365;10;215;60;10;70;10;15;0;100;30;60;10;5;145;0
Manitoba; female; 65 to 69 years;545;345;20;155;100;15;55;0;5;0;25;0;10;5;5;170;0
Manitoba;Tous; 70 to 74 years;1225;905;35;500;275;20;75;5;5;0;75;15;50;15;10;225;0
Manitoba; male; 70 to 74 years;545;385;20;235;85;15;40;0;5;0;55;15;35;5;5;90;0
Manitoba; female; 70 to 74 years;680;520;25;260;190;5;35;0;0;0;20;0;10;5;10;135;0
Manitoba;Tous; 75 to 79 years;1745;1535;70;895;510;15;50;0;0;0;45;10;25;15;20;140;0
Manitoba; male; 75 to 79 years;645;535;30;350;125;5;25;0;5;0;35;10;15;5;15;55;0
Manitoba; female; 75 to 79 years;1095;995;40;540;385;10;20;0;0;0;10;0;5;5;5;80;0
Manitoba;Tous; 80 to 84 years;2965;2855;100;1705;1030;10;15;0;0;0;30;0;25;5;15;65;0
Manitoba; male; 80 to 84 years;925;870;45;570;245;5;5;0;0;0;20;0;15;5;5;30;0
Manitoba; female; 80 to 84 years;2040;1990;55;1135;790;5;10;0;0;0;15;0;15;0;10;30;0
Manitoba;Tous; 85 years and over;7660;7515;210;5085;2170;35;15;0;0;0;65;0;65;5;15;55;0
Manitoba; male; 85 years and over;1780;1735;60;1095;570;5;0;0;0;0;10;5;10;0;5;30;0
Manitoba; female; 85 years and over;5880;5785;155;3995;1600;30;10;0;0;0;50;0;55;0;15;30;0
Colombie-Britanique;Etablissement;;4300;1675;45;375;300;415;540;30;195;45;2105;140;1595;360;75;5;175
Colombie-Britanique;Tous;0 to 100 years;75185;51200;565;28855;14925;3125;3730;3425;3985;165;13715;2860;6235;4615;495;430;1765
Colombie-Britanique; male;0 to 100 years;34090;17815;210;8985;4405;2040;2180;3240;2605;105;8810;2310;3880;2620;230;215;1080
Colombie-Britanique; female;0 to 100 years;41095;33385;350;19875;10525;1090;1555;190;1380;60;4905;555;2355;1990;270;225;680
Colombie-Britanique;Tous; under 15 years;1050;70;0;5;15;10;35;0;180;65;470;10;285;175;30;180;55
Colombie-Britanique; male; under 15 years;535;40;0;5;10;5;20;0;90;45;235;5;150;85;15;80;25
Colombie-Britanique; female; under 15 years;515;30;0;0;5;10;15;0;90;20;235;5;140;90;20;100;30
Colombie-Britanique;Tous; 15 to 19 years;1225;120;0;0;5;55;60;95;70;65;760;15;130;615;20;50;55
Colombie-Britanique; male; 15 to 19 years;620;70;5;0;5;25;40;80;25;35;335;5;65;275;10;25;35
Colombie-Britanique; female; 15 to 19 years;605;45;0;0;5;30;20;15;45;30;420;10;70;345;10;25;20
Colombie-Britanique;Tous; 20 to 24 years;2310;340;5;10;0;180;140;345;240;10;1000;65;335;605;25;40;310
Colombie-Britanique; male; 20 to 24 years;1425;230;5;10;0;120;100;320;125;10;560;55;190;315;15;20;140
Colombie-Britanique; female; 20 to 24 years;885;110;5;0;0;60;40;20;115;0;440;10;145;290;5;20;175
Colombie-Britanique;Tous; 25 to 29 years;2490;475;5;15;15;250;190;515;335;5;810;95;355;360;15;35;300
Colombie-Britanique; male; 25 to 29 years;1695;305;0;5;5;170;125;475;190;0;495;55;220;220;10;25;195
Colombie-Britanique; female; 25 to 29 years;795;165;5;10;10;75;65;40;140;5;320;40;145;140;5;15;105
Colombie-Britanique;Tous; 30 to 34 years;2525;600;0;35;45;275;245;645;390;5;675;145;335;190;25;35;150
