Province;group_age;sexe;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038
Atlantique;0-14;homme;486.9763504;490.4603191;492.1576605;493.8210852;495.5058977;507.915401;509.4477325;511.0151337;512.4343264;515.6977442;517.0411352;518.2927623;519.4634505;520.5560568;521.5486296;522.3596537;523.1877932;523.692728;524.2179105;524.523355;524.7615428;524.7799926;524.8027278;524.6461945;524.3158052;523.9865692
Atlantique;15-44;homme;1296.320107;1305.594353;1310.112638;1314.540637;1319.02557;1352.059389;1356.138421;1360.310808;1364.088667;1372.775812;1376.351888;1379.683691;1382.800037;1385.708531;1388.350737;1390.509665;1392.714154;1394.058279;1395.456303;1396.269389;1396.90344;1396.952553;1397.013073;1396.596385;1395.716897;1394.840477
Atlantique;45-64;homme;365.2684859;367.8817216;369.1548539;370.4025461;371.6662808;380.9743313;382.1236939;383.2993615;384.3638615;386.8116676;387.8193108;388.7581242;389.6362274;390.4557634;391.2002669;391.8085953;392.4297615;392.8085002;393.2024261;393.4315322;393.6101907;393.6240295;393.6410825;393.5236709;393.2758544;393.0289029
Atlantique;65+;homme;37.840304;38.11102441;38.24291565;38.3721714;38.50308909;39.46736462;39.58643383;39.70822812;39.81850592;40.07208851;40.17647617;40.27373336;40.36470122;40.44960176;40.52672924;40.58974954;40.65409979;40.69333555;40.73414465;40.75787909;40.77638738;40.77782101;40.77958764;40.76742428;40.74175152;40.71616836
Quebec;0-14;homme;4533.53127;4568.49738;4693.33072;4728.2456;4762.76372;4796.88508;4830.60968;4863.93752;4896.75524;4928.94948;4960.6336;4991.5242;5021.67796;5050.86816;5079.0948;5106.35788;5132.60072;5157.82332;5182.02568;5205.37784;5227.8798;5249.58824;5270.72988;5291.24804;5311.31276;5330.92404
Quebec;15-44;homme;14474.02644;14585.66136;14984.21184;15095.6832;15205.88784;15314.82576;15422.49696;15528.90144;15633.67728;15736.46256;15837.6192;15936.2424;16032.51312;16125.70752;16215.8256;16302.86736;16386.65184;16467.17904;16544.44896;16619.00448;16690.8456;16760.15328;16827.65136;16893.15888;16957.21872;17019.83088
Quebec;45-64;homme;1538.90511;1550.77434;1593.14896;1605.0008;1616.71796;1628.30044;1639.74824;1651.06136;1662.20132;1673.12964;1683.8848;1694.3706;1704.60628;1714.51488;1724.0964;1733.35084;1742.25896;1750.82076;1759.03624;1766.96312;1774.6014;1781.97032;1789.14684;1796.11172;1802.92268;1809.57972
Quebec;65+;homme;249.55218;251.47692;258.34848;260.2704;262.17048;264.04872;265.90512;267.73968;269.54616;271.31832;273.0624;274.7628;276.42264;278.02944;279.5832;281.08392;282.52848;283.91688;285.24912;286.53456;287.7732;288.96816;290.13192;291.26136;292.36584;293.44536
Ontario;0-14;homme;8162.583066;8241.568026;8320.251516;8398.573243;8625.305667;8704.387943;8783.224813;8861.754924;8940.039628;9018.017574;9095.995521;9173.789412;9251.153842;9327.966107;9403.9808;9479.013867;9552.819901;9625.337551;9696.38276;9765.955531;9833.99451;9900.561049;9965.655149;10029.33816;10091.67144;10152.77768
Ontario;15-44;homme;22254.58968;22469.93547;22684.45932;22897.99686;23516.16357;23731.77468;23946.71671;24160.82239;24374.25899;24586.85924;24799.45949;25011.55793;25222.48547;25431.90759;25639.1552;25843.72649;26044.95237;26242.66559;26436.36432;26626.04857;26811.55107;26993.03909;27170.51262;27344.13895;27514.08533;27680.68631
Ontario;45-64;homme;5082.363041;5131.542356;5180.533963;5229.300321;5370.47334;5419.713248;5468.800355;5517.696462;5566.439769;5614.992075;5663.544381;5711.982087;5760.152392;5807.978897;5855.3088;5902.027502;5947.982203;5993.134701;6037.370398;6080.689293;6123.053185;6164.500276;6205.030565;6244.682251;6283.493536;6321.540819
Ontario;65+;homme;1386.099011;1399.511552;1412.872899;1426.172815;1464.674547;1478.103613;1491.491006;1504.826308;1518.119937;1531.361475;1544.603013;1557.813296;1570.950652;1583.994245;1596.9024;1609.643864;1622.176964;1634.491282;1646.555563;1658.369807;1669.923596;1681.227348;1692.281063;1703.095159;1713.680055;1724.056587
