Geography;Sex;Age group (5,6);2010;2011;2012;2013
Newfoundland and Labrador;Males;0 years;2580;2442;2345;2328
Newfoundland and Labrador;Males;1 year;2559;2546;2487;2380
Newfoundland and Labrador;Males;2 years;2501;2598;2593;2523
Newfoundland and Labrador;Males;3 years;2556;2546;2641;2629
Newfoundland and Labrador;Males;4 years;2530;2595;2594;2673
Newfoundland and Labrador;Males;5 years;2487;2560;2626;2618
Newfoundland and Labrador;Males;6 years;2614;2544;2593;2649
Newfoundland and Labrador;Males;7 years;2495;2655;2575;2615
Newfoundland and Labrador;Males;8 years;2571;2530;2675;2594
Newfoundland and Labrador;Males;9 years;2644;2605;2553;2690
Newfoundland and Labrador;Males;10 years;2757;2679;2619;2563
Newfoundland and Labrador;Males;11 years;2715;2764;2699;2631
Newfoundland and Labrador;Males;12 years;2815;2744;2768;2702
Newfoundland and Labrador;Males;13 years;2842;2836;2748;2766
Newfoundland and Labrador;Males;14 years;2947;2848;2838;2739
Newfoundland and Labrador;Males;15 years;3036;2957;2839;2835
Newfoundland and Labrador;Males;16 years;3123;3057;2963;2840
Newfoundland and Labrador;Males;17 years;3144;3124;3065;2977
Newfoundland and Labrador;Males;18 years;3197;3133;3129;3073
Newfoundland and Labrador;Males;19 years;3458;3196;3130;3127
Newfoundland and Labrador;Males;20 years;3615;3407;3176;3112
Newfoundland and Labrador;Males;21 years;3361;3532;3373;3148
Newfoundland and Labrador;Males;22 years;3272;3302;3474;3324
Newfoundland and Labrador;Males;23 years;3142;3219;3229;3412
Newfoundland and Labrador;Males;24 years;3079;3168;3164;3170
Newfoundland and Labrador;Males;25 years;3163;3047;3121;3109
Newfoundland and Labrador;Males;26 years;3123;3175;3056;3127
Newfoundland and Labrador;Males;27 years;3090;3166;3176;3047
Newfoundland and Labrador;Males;28 years;3025;3134;3190;3191
Newfoundland and Labrador;Males;29 years;3007;3100;3153;3224
Newfoundland and Labrador;Males;30 years;3018;3037;3129;3185
Newfoundland and Labrador;Males;31 years;2997;3036;3080;3154
Newfoundland and Labrador;Males;32 years;3008;3009;3065;3101
Newfoundland and Labrador;Males;33 years;3008;3010;3037;3107
Newfoundland and Labrador;Males;34 years;3180;3066;3045;3058
Newfoundland and Labrador;Males;35 years;3247;3212;3079;3064
Newfoundland and Labrador;Males;36 years;3252;3289;3229;3089
Newfoundland and Labrador;Males;37 years;3315;3300;3275;3227
