Geography (2);Sex;Age group;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038
Newfoundland and Labrador;Males;Under 1 year;2.3;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.0;2.0;1.9;1.9;1.9;1.8;1.8;1.8;1.7;1.7;1.7;1.7;1.6;1.6;1.6
Newfoundland and Labrador;Males;1 year;2.3;2.3;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.0;2.0;1.9;1.9;1.8;1.8;1.8;1.7;1.7;1.7;1.7;1.7;1.6
Newfoundland and Labrador;Males;2 years;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.0;2.0;1.9;1.9;1.9;1.8;1.8;1.8;1.7;1.7;1.7;1.7
Newfoundland and Labrador;Males;3 years;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.0;2.0;1.9;1.9;1.9;1.8;1.8;1.8;1.7;1.7;1.7
Newfoundland and Labrador;Males;4 years;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.0;2.0;1.9;1.9;1.9;1.8;1.8;1.8;1.7;1.7
Newfoundland and Labrador;Males;5 years;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.0;2.0;1.9;1.9;1.9;1.8;1.8;1.8;1.8
Newfoundland and Labrador;Males;6 years;2.7;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.2;2.1;2.1;2.0;2.0;2.0;1.9;1.9;1.8;1.8;1.8
Newfoundland and Labrador;Males;7 years;2.6;2.7;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.0;2.0;1.9;1.9;1.9;1.8
Newfoundland and Labrador;Males;8 years;2.6;2.6;2.7;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.0;2.0;1.9;1.9;1.9
Newfoundland and Labrador;Males;9 years;2.7;2.6;2.6;2.7;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.0;2.0;1.9;1.9
Newfoundland and Labrador;Males;10 years;2.6;2.7;2.6;2.6;2.7;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.0;2.0;1.9
Newfoundland and Labrador;Males;11 years;2.6;2.6;2.7;2.6;2.6;2.7;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.4;2.3;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.0
Newfoundland and Labrador;Males;12 years;2.7;2.6;2.6;2.7;2.6;2.7;2.7;2.7;2.7;2.7;2.6;2.4;2.4;2.4;2.4;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.0
Newfoundland and Labrador;Males;13 years;2.8;2.7;2.6;2.6;2.7;2.6;2.7;2.7;2.7;2.7;2.7;2.6;2.4;2.4;2.4;2.4;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1;2.1
Newfoundland and Labrador;Males;14 years;2.7;2.8;2.7;2.6;2.6;2.7;2.6;2.6;2.7;2.7;2.7;2.6;2.5;2.4;2.4;2.4;2.4;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2;2.1
Newfoundland and Labrador;Males;15 years;2.8;2.7;2.7;2.7;2.6;2.6;2.7;2.6;2.6;2.7;2.6;2.7;2.6;2.5;2.4;2.4;2.4;2.4;2.4;2.4;2.3;2.3;2.3;2.2;2.2;2.2
Newfoundland and Labrador;Males;16 years;2.8;2.8;2.7;2.7;2.7;2.6;2.6;2.7;2.6;2.6;2.6;2.6;2.7;2.6;2.5;2.4;2.3;2.4;2.4;2.4;2.3;2.3;2.3;2.3;2.2;2.2
Newfoundland and Labrador;Males;17 years;3.0;2.8;2.8;2.7;2.7;2.6;2.6;2.5;2.7;2.6;2.6;2.6;2.6;2.6;2.6;2.5;2.4;2.3;2.4;2.4;2.3;2.3;2.3;2.3;2.2;2.2
Newfoundland and Labrador;Males;18 years;3.1;2.9;2.8;2.7;2.7;2.7;2.6;2.6;2.5;2.6;2.5;2.6;2.6;2.6;2.6;2.6;2.5;2.3;2.3;2.4;2.3;2.3;2.3;2.3;2.2;2.2
Newfoundland and Labrador;Males;19 years;3.1;3.0;2.9;2.7;2.7;2.6;2.6;2.6;2.5;2.5;2.6;2.5;2.5;2.5;2.5;2.6;2.5;2.4;2.3;2.3;2.3;2.3;2.3;2.3;2.2;2.2
Newfoundland and Labrador;Males;20 years;3.1;3.0;2.9;2.8;2.7;2.6;2.6;2.6;2.5;2.5;2.4;2.5;2.4;2.5;2.5;2.5;2.5;2.5;2.4;2.3;2.2;2.3;2.3;2.2;2.2;2.2
Newfoundland and Labrador;Males;21 years;3.1;3.0;3.0;2.9;2.8;2.6;2.6;2.5;2.5;2.5;2.4;2.4;2.5;2.4;2.4;2.4;2.4;2.4;2.4;2.3;2.2;2.2;2.2;2.2;2.2;2.2
Newfoundland and Labrador;Males;22 years;3.3;3.0;2.9;2.9;2.8;2.7;2.6;2.5;2.4;2.4;2.4;2.3;2.3;2.4;2.3;2.3;2.4;2.4;2.4;2.3;2.3;2.2;2.1;2.2;2.2;2.1
Newfoundland and Labrador;Males;23 years;3.3;3.2;2.9;2.8;2.8;2.7;2.6;2.5;2.5;2.4;2.4;2.3;2.3;2.2;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.2;2.1;2.1;2.1;2.1
Newfoundland and Labrador;Males;24 years;3.1;3.3;3.1;2.9;2.8;2.7;2.7;2.6;2.5;2.4;2.3;2.3;2.3;2.2;2.2;2.3;2.2;2.2;2.3;2.3;2.3;2.2;2.2;2.1;2.1;2.1
Newfoundland and Labrador;Males;25 years;3.0;3.0;3.2;3.0;2.8;2.7;2.7;2.6;2.5;2.4;2.3;2.3;2.3;2.2;2.2;2.1;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.1;2.0;2.0
Newfoundland and Labrador;Males;26 years;3.1;3.0;2.9;3.1;2.9;2.7;2.6;2.6;2.5;2.4;2.3;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.0;2.0
Newfoundland and Labrador;Males;27 years;3.0;3.0;2.9;2.9;3.0;2.9;2.7;2.6;2.6;2.5;2.4;2.3;2.3;2.2;2.2;2.1;2.1;2.0;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.0
Newfoundland and Labrador;Males;28 years;3.2;3.0;3.0;2.9;2.8;3.0;2.8;2.6;2.6;2.5;2.5;2.4;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.1;2.0;2.0;2.1;2.1;2.1;2.0
Newfoundland and Labrador;Males;29 years;3.2;3.2;3.0;3.0;2.9;2.8;3.0;2.8;2.7;2.6;2.5;2.5;2.4;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.1;2.0;2.1;2.1;2.1;2.1
Newfoundland and Labrador;Males;30 years;3.2;3.2;3.1;2.9;2.9;2.8;2.8;2.9;2.8;2.6;2.6;2.5;2.5;2.4;2.3;2.2;2.2;2.2;2.1;2.1;2.0;2.1;2.0;2.0;2.1;2.1
Newfoundland and Labrador;Males;31 years;3.1;3.1;3.1;3.1;2.9;2.9;2.8;2.8;2.9;2.8;2.6;2.5;2.5;2.4;2.4;2.3;2.2;2.1;2.1;2.1;2.0;2.0;2.1;2.0;2.0;2.0
Newfoundland and Labrador;Males;32 years;3.1;3.1;3.1;3.1;3.1;2.9;2.9;2.8;2.8;2.9;2.8;2.6;2.5;2.5;2.5;2.4;2.3;2.2;2.1;2.1;2.1;2.0;2.0;2.1;2.0;2.0
Newfoundland and Labrador;Males;33 years;3.1;3.1;3.1;3.1;3.1;3.1;2.9;2.9;2.8;2.8;2.9;2.8;2.6;2.5;2.5;2.5;2.4;2.3;2.2;2.1;2.1;2.1;2.0;2.0;2.1;2.0
