2010,387639,1361107,2411432,1193112,774932
2012,381916,1367012,2429050,1222763,773109
2014,373900,1373300,2434400,1256400,775500
2016,366700,1379000,2441100,1278000,785800
2018,361100,1389100,2452100,1303900,797198
2020,354900,1391200,2457300,1329500,807299
2022,348500,1388000,2460200,1358600,817899
2024,341700,1389900,2467400,1390200,827499
2026,337400,1395500,2477700,1422298,836499
2028,333300,1407600,2498000,1458497,849100
2030,329800,1423300,2523900,1497098,862800
2032,327000,1439600,2552500,1537000,877800
2034,323700,1455000,2579800,1576300,892600
2036,320700,1466700,2604300,1615500,906800
2038,317000,1473600,2624300,1651100,919600
2040,317000,1473600,2624300,1651100,919600
2042,317000,1473600,2624300,1651100,919600
2044,317000,1473600,2624300,1651100,919600
2046,317000,1473600,2624300,1651100,919600
2048,317000,1473600,2624300,1651100,919600
2050,317000,1473600,2624300,1651100,919600
