2010,407213,1412588,2484525,1254353,814309
2012,403592,1415077,2511067,1284584,812958
2014,393600,1421800,2523300,1326300,819500
2016,386000,1428800,2538300,1350900,831400
2018,379900,1440000,2557300,1382300,846000
2020,372800,1444300,2568200,1411300,857999
2022,366000,1445700,2575800,1442999,867699
2024,359700,1450200,2584300,1475199,875400
2026,353800,1458000,2594100,1508900,883499
2028,350000,1471600,2614300,1545998,895599
2030,345900,1487500,2640400,1585900,909199
2032,342800,1504400,2668900,1628300,924400
2034,339300,1520200,2696400,1669800,939400
2036,335800,1533500,2721700,1711600,954100
2038,332200,1541000,2741600,1750300,966300
2040,332200,1541000,2741600,1750300,966300
2042,332200,1541000,2741600,1750300,966300
2044,332200,1541000,2741600,1750300,966300
2046,332200,1541000,2741600,1750300,966300
2048,332200,1541000,2741600,1750300,966300
2050,332200,1541000,2741600,1750300,966300
